Time,wind_speed,generator_speed,power,wind_direction,wind_direction_mean,yaw_position,yaw_speed,pitch1_angle,pitch2_angle,pitch3_angle,pitch1_speed,pitch2_speed,pitch3_speed,pitch1_moto_tmp,pitch2_moto_tmp,pitch3_moto_tmp,acc_x,acc_y,environment_tmp,int_tmp,pitch1_ng5_tmp,pitch2_ng5_tmp,pitch3_ng5_tmp,pitch1_ng5_DC,pitch2_ng5_DC,pitch3_ng5_DC
2015/11/9 12:30,,0.352342161,,,-0.97822986,1.491764832,-0.021521996,,0.217777778,0.182222222,,0,,,-0.078625,,0.241499924,-0.256548388,1.571420219,1.401738381,0.813269231,0.769230769,1.102307692,,0.55,0.32
2015/11/9 12:31,0.552609253,0.212326878,-0.177052185,-1.503041753,-1.099025886,,,,,,0,0,0,-0.069,-0.08,-0.069,0.100890334,0.219938398,,1.391699353,0.815384615,0.769230769,,-0.395,0.38,0.915
2015/11/9 12:32,0.304593519,,,-1.142017393,,1.493220904,,,0.217777778,,0,,,-0.069,-0.08675,-0.069,0.241499924,0.061109469,,,,,1.087307692,,0.225,
2015/11/9 12:33,,0.227191673,-0.16875871,-1.176376688,-1.091074844,1.493787154,,,0.217777778,0.182222222,0,0,,-0.069,-0.089,-0.069,,,1.569009292,1.423781749,,0.769230769,,0.426666667,0.44,
2015/11/9 12:34,0.332714262,,-0.265663248,-1.812059615,-1.405369674,1.491036797,,0.217777778,0.217777778,0.182222222,,,,-0.070375,-0.089,,,0.061109469,1.581480364,1.429943269,0.798461538,0.769230769,,0.915,0.155,0.32
2015/11/9 12:35,0.414310516,0.181397027,-0.202803585,-1.790576064,-0.600221151,,0.085067145,0.217777778,0.217777778,0.182222222,,0,,-0.073888889,-0.089,-0.078777778,0.225876636,-0.362434341,1.570938034,,0.80034188,,1.054700855,,0.008888889,0.106666667
2015/11/9 12:36,0.388494752,0.258444672,-0.154520076,-0.522255312,-0.408129611,,0.043884977,0.217777778,,0.182222222,0,,0,,-0.089,-0.08,0.100890334,-0.415377317,1.571420219,,,0.770961538,1.044038462,0.09,-0.08,0.34
2015/11/9 12:37,0.289841654,0.093916328,,-1.104469133,-0.665870018,,0.013361723,0.217777778,0.217777778,0.182222222,0,0,,,-0.089,,,-0.09771946,1.567080549,1.391699353,,,,,0.63,0.81
2015/11/9 12:38,0.383987238,0.183243585,,,-1.106695475,1.493140011,-0.02345998,,0.217777778,,,0,0,-0.08,,,0.225876636,-0.221253071,,1.394036482,,0.783076923,1.017264957,1.08,0.906666667,-0.075555556
2015/11/9 12:39,0.578425017,,,0.056290001,0.737928623,,,0.217777778,,0.182222222,,,0,-0.08,-0.089,,0.100890334,,1.599430818,1.425640828,0.798461538,0.783076923,,0.48,0.275,0.395
2015/11/9 12:40,0.574532163,0.559941476,0.025355664,-0.003796806,-0.515081678,,-0.004080136,,0.217777778,0.182222222,0,0,0,-0.08,-0.089,,-0.274068572,,1.627222241,,0.798461538,,,0.64,,0.808888889
2015/11/9 12:41,0.360374009,,-0.131996754,,-1.619731168,1.492492868,-0.004080136,0.217777778,0.217777778,0.182222222,,0,0,-0.08,,-0.083375,0.100890334,-0.256548388,1.591145993,,,,1,0.465,0.69,0.455
2015/11/9 12:42,,0.099732987,,,0.120649847,,-0.021521996,0.217777778,0.217777778,0.182222222,0,0,0,,,-0.087875,0.803938284,0.061109469,1.591145993,1.407474968,0.798461538,,0.996153846,0.625,0.255,
2015/11/9 12:43,0.308179042,0.052137947,-0.266216884,-0.24874765,-1.057863413,1.491845725,-0.019584011,0.217777778,0.217777778,0.182222222,,0,0,-0.08,-0.095111111,,-0.524041176,-0.221253071,1.606006076,1.424206681,0.798461538,0.78,0.981196581,0.52,0.622222222,0.111111111
2015/11/9 12:44,,0.728347592,0.147847236,,,1.493220904,,,0.217777778,0.182222222,0,0,,,-0.09725,,-0.602157615,-1.050693032,1.5696449,,,0.769230769,,0.165,0.515,0.64
2015/11/9 12:45,1.219209161,,0.686265633,-1.352417125,-0.855850662,1.492492868,,,0.217777778,0.182222222,0,0,0,-0.08675,-0.1,-0.089,,0.061109469,,1.432572538,0.783076923,,0.969230769,0.775,0.555,-0.215
2015/11/9 12:46,0.813020651,1.067745006,,,0.343067927,,,0.217777778,,0.182222222,,0,0,-0.087,-0.1,,0.600835543,-0.080071801,1.593907601,1.424206681,0.783076923,0.769230769,0.969230769,0.226666667,-0.013333333,0.351111111
2015/11/9 12:47,0.623602604,0.766155873,0.16887076,-0.167057407,,1.491764832,,0.217777778,0.217777778,0.182222222,0,0,0,-0.089,-0.1,,,0.061109469,,1.427792048,0.783076923,0.769230769,,0.45,0.28,
2015/11/9 12:48,,,,,,,-0.004080136,0.217777778,,0.182222222,0,,0,-0.089,-0.1,,0.382109514,,,1.425640828,0.783076923,0.769230769,0.969230769,0.085,0.59,0.6
2015/11/9 12:49,0.412261646,0.245657256,,,,1.488610011,-0.081599511,,,0.182222222,,,0,-0.089,,,-0.274068572,,1.618805911,1.436954653,0.783076923,0.769230769,0.969230769,0.16,,
2015/11/9 12:50,0.68860301,0.632788201,0.072122125,0.51636408,0.027559332,1.48885269,-0.056405714,,0.217777778,,,0,0,-0.089,-0.1,-0.089,-0.039719256,,1.587595354,1.435201807,0.783076923,0.769230769,0.958653846,,0.235,1.17
2015/11/9 12:51,0.371694017,0.258952475,,-0.418697883,-0.464983078,,,,0.217777778,0.182222222,0,0,0,,-0.1,-0.089,,-1.491884501,1.628624963,1.429943269,0.783076923,,0.952307692,0.342222222,0.075555556,0.017777778
2015/11/9 12:52,,-0.052746564,,,-1.352175094,1.490308761,,,0.217777778,0.182222222,0,0,,-0.089,-0.1,-0.089,0.241499924,-0.415377317,1.610674509,1.427792048,0.783076923,,,,0.525,0.05
2015/11/9 12:53,0.079934906,-0.252174859,-0.447109087,-1.97145989,-1.875202361,,0.015299707,0.217777778,0.217777778,0.182222222,0,0,0,-0.089,-0.1,-0.089,-0.274068572,,1.585666611,,0.783076923,0.769230769,,-0.248888889,0.342222222,
2015/11/9 12:54,0.107287322,,,-1.48879931,-0.229072855,1.492492868,,,,0.182222222,,0,0,-0.089,-0.1,,-0.180328846,0.061109469,1.583650199,1.430421317,0.774423077,0.763461538,0.93,0.635,,-0.075
2015/11/9 12:55,0.454878146,0.290436294,-0.122731406,-1.462903958,-1.423101201,1.492492868,,0.217777778,0.217777778,0.182222222,,0,0,-0.089,-0.1,-0.089,-0.039719256,-0.09771946,1.622707231,1.463884743,0.776153846,,0.923076923,-0.14,0.45,0.66
2015/11/9 12:56,0.399097656,0.13920317,,,-0.029276544,1.487396618,-0.078208038,0.217777778,,0.182222222,0,0,0,-0.089,-0.1,-0.089,-0.180328846,-0.256548388,1.620537396,,0.776153846,0.753846154,,1.42,,0.185
2015/11/9 12:57,0.026664281,,-0.306711408,,-0.369570577,1.49055144,,,,,0,0,0,-0.089,,-0.089,,,1.612669004,1.450127557,0.770769231,0.75042735,0.923076923,0.724444444,,
2015/11/9 12:58,,-0.149136907,,-1.763721625,-1.74353522,1.492492868,0.004640793,0.217777778,0.217777778,,0,0,0,,-0.10625,,-0.039719256,,,,,0.738461538,0.911538462,1.315,-0.43,0.89
2015/11/9 12:59,0.177461125,-0.117376104,-0.36545086,-2.096141213,,1.492492868,,0.217777778,0.217777778,,0,0,,-0.089,-0.107777778,-0.093888889,-0.024095968,,1.585666611,1.429943269,,0.738461538,0.907692308,,,1.022222222
2015/11/9 13:00,0.314735426,0.073927335,-0.254648136,-1.480599115,,,,0.217777778,0.217777778,0.182222222,,0,0,-0.089,-0.11,-0.095111111,-0.274068572,0.202290739,,,0.769230769,0.738461538,0.905982906,-0.493333333,-1.022222222,0.724444444
2015/11/9 13:01,,0.651069128,0.090025954,-0.896227348,0.029142504,1.492492868,,,0.217777778,0.182222222,0,0,,,,-0.09725,0.241499924,-0.09771946,1.589370673,1.470816453,0.769230769,,0.903846154,,,0.135
2015/11/9 13:02,0.253269322,0.340939663,-0.101236591,-0.46799496,-1.059974309,,-0.05446773,,0.217777778,0.182222222,0,0,0,,-0.11,-0.1,-0.024095968,-0.644796881,1.628975643,1.478810493,0.769230769,0.741880342,0.905982906,-0.635555556,2.186666667,-0.404444444
2015/11/9 13:03,0.148776943,,-0.272667184,-1.67567743,-2.02090696,1.491764832,-0.004080136,,0.217777778,,,,0,-0.098625,-0.11,-0.1,-0.180328846,-0.256548388,1.596866467,,0.769230769,0.742307692,0.903846154,0.12,,0
2015/11/9 13:04,0.242359088,,,-1.394281276,-1.452389884,1.491036797,,0.217777778,,,0,0,0,-0.1,-0.11,-0.1,0.241499924,0.219938398,1.57575989,1.437831076,0.769230769,0.738461538,,,-0.245,-0.46
2015/11/9 13:05,,-0.002058539,,-1.657766479,-1.353599949,1.490308761,-0.03460339,,0.217777778,,0,0,0,-0.1,-0.11,,0.241499924,,1.579705044,1.447870104,0.769230769,0.738461538,,0.06,-0.2,
2015/11/9 13:06,0.192622765,0.090546359,-0.239296046,-1.424204794,-0.87449691,,0.034679551,0.217777778,0.217777778,0.182222222,,,,-0.1,-0.111111111,,-0.399054874,-0.362434341,1.593907601,1.468187184,0.757264957,0.738461538,,0.306666667,0.662222222,-0.453333333
2015/11/9 13:07,,,,-1.787027442,-1.181192515,1.488124654,-0.038963855,0.217777778,0.217777778,0.182222222,0,0,,-0.1,-0.11625,,,0.061109469,,,,,0.892307692,,0.01,0.25
2015/11/9 13:08,0.155743102,-0.030587864,,,-1.281055488,1.49055144,,0.217777778,0.217777778,0.182222222,0,,,,-0.115555556,-0.1,-0.024095968,-0.221253071,1.587244673,1.470311845,0.753846154,0.732820513,,0.782222222,0.768888889,0.893333333
2015/11/9 13:09,0.116507238,-0.057316796,-0.32848483,,-1.594558732,1.48885269,-0.052045249,0.217777778,,,0,0,,-0.1,,-0.1,,,1.569250384,1.447392055,0.753846154,0.723653846,,1.41,0.105,0.48
2015/11/9 13:10,0.140479019,-0.094294125,-0.349517142,-1.764153215,,1.500501261,0.052605907,0.217777778,0.217777778,0.182222222,0,0,,-0.1,,,,-0.09771946,1.591540508,1.447870104,,0.721538462,0.875384615,-0.385,,0.315
2015/11/9 13:11,-0.004068771,,,0.33245913,0.797473482,1.50414144,-0.031211917,,0.217777778,0.182222222,0,0,0,-0.1,-0.12,,0.350862938,-0.221253071,1.598641787,1.450552489,0.738461538,0.721538462,0.86,0.084444444,,
2015/11/9 13:12,0.016932148,,,0.385592555,0.108459423,,0.048245442,0.217777778,0.217777778,0.182222222,0,0,,-0.1,-0.12,-0.1,0.100890334,-0.574206246,,,,0.719615385,,0.215,0.605,0.155
2015/11/9 13:13,,-0.119638138,-0.364535619,-0.214316423,-0.587977954,,-0.012801066,0.217777778,,0.182222222,,0,,,,-0.1,0.241499924,-0.09771946,,1.468187184,0.738461538,0.71,0.86,0.255,0.645,
2015/11/9 13:14,0.041006372,,,,,,0.081191176,0.217777778,0.217777778,0.182222222,0,0,,,-0.12,-0.1,0.100890334,,1.598641787,1.472436507,0.738461538,0.70957265,0.86,,,
2015/11/9 13:15,0.111436284,-0.135010736,-0.381803792,,-0.971263903,1.508503735,0.052605907,,0.217777778,,0,,0,-0.1,-0.12,,-0.039719256,,1.596866467,1.468187184,0.738461538,,,1.305,0.215,
2015/11/9 13:16,,-0.276549429,-0.45956834,-0.504632087,-0.141593804,,,0.217777778,,0.182222222,0,,0,,-0.12,-0.101111111,-0.274068572,,1.602499272,,0.736581197,0.706153846,0.846153846,0.604444444,,
2015/11/9 13:17,0.055194798,-0.272533164,-0.455648297,,0.06729695,1.508509654,0.000280329,0.217777778,,,,0,,,-0.12,-0.105,,0.061109469,1.598641787,1.437353027,0.734230769,,0.846153846,-0.11,0.595,0.27
2015/11/9 13:18,-0.011188595,,-0.454898399,-0.612241659,,1.509965726,0.009001258,0.217777778,0.217777778,,0,0,0,-0.11,-0.12,-0.10875,-0.039719256,-0.09771946,,,0.725769231,0.706153846,,0.625,0.57,-0.34
2015/11/9 13:19,-0.238869292,-0.516602006,,-0.424452406,-0.012969872,,,,0.217777778,,0,0,0,,-0.12,-0.11,,-0.080071801,,1.468187184,,0.706153846,,0.591111111,0.155555556,
2015/11/9 13:20,-0.153226519,,,-0.403927942,-0.330589363,,-0.038963855,0.217777778,0.217777778,0.182222222,,0,0,-0.11,,-0.11,0.100890334,0.061109469,,1.476685831,0.721538462,,0.822222222,0.302222222,0.493333333,-0.226666667
2015/11/9 13:21,-0.212643754,-0.520572106,,,,,,,,0.182222222,0,,0,,,-0.11,,-0.09771946,1.624877066,,0.719615385,0.706153846,0.815384615,0.025,0.765,
2015/11/9 13:22,,-0.518448564,-0.581499767,-0.883663307,-0.996788155,1.511260011,-0.000204168,0.217777778,,0.182222222,,0,0,-0.11,-0.123,-0.11,,0.061109469,,1.491983397,0.706153846,0.706153846,,0.413333333,,1.635555556
2015/11/9 13:23,-0.332041663,,,,-0.292874687,1.515056057,0.026443118,0.217777778,,0.182222222,,0,0,-0.11,,,,,1.630203025,,0.706153846,0.706153846,0.815384615,1.115,0.73,0.045
2015/11/9 13:24,-0.259665324,,-0.603586298,,-0.877856753,,,,0.217777778,0.182222222,0,0,,-0.11125,-0.127875,-0.11,-0.180328846,0.061109469,,1.449543275,0.706153846,0.700961538,0.815384615,0.24,0.625,0.43
2015/11/9 13:25,,-0.393621224,-0.521427162,,,1.509318583,-0.007956105,0.217777778,,0.182222222,,,0,,-0.129,,-0.399054874,-0.080071801,1.623540097,1.432280397,,,,0.115555556,0.853333333,
2015/11/9 13:26,-0.270268227,,-0.588816811,-0.75315553,-0.677268857,1.507053583,,0.217777778,0.217777778,0.182222222,0,0,0,,-0.129,-0.11,0.241499924,-0.256548388,1.630203025,,0.706153846,0.692307692,0.798461538,,,0.585
2015/11/9 13:27,,,-0.574047324,-0.871195175,-0.498370417,1.507053583,-0.008440601,0.217777778,,0.182222222,0,0,,-0.11875,-0.129,-0.11,-0.039719256,,1.628427705,1.482528652,0.706153846,0.692307692,,0.235,,0.905
2015/11/9 13:28,-0.11470776,-0.397683652,-0.519867477,,,1.509318583,0.023051645,0.217777778,0.217777778,,0,0,,-0.12,,-0.115555556,,,,1.487309141,0.706153846,,0.783076923,0.2,0.271111111,0.128888889
2015/11/9 13:29,,-0.427967208,-0.531212297,-0.339477289,,,-0.038963855,0.217777778,,,0,,,-0.12,-0.129,-0.118888889,,0.061109469,1.633709829,1.489646269,0.706153846,,0.783076923,0.257777778,0.168888889,-0.164444444
2015/11/9 13:30,,-0.624071699,-0.623330047,-0.114283639,,,0.00754777,0.217777778,0.217777778,0.182222222,0,0,0,-0.12,,-0.12,0.475849241,,1.635463231,1.500906977,0.706153846,,0.783076923,0.146666667,0.666666667,0.702222222
2015/11/9 13:31,,,-0.540257949,,-0.060148399,1.512877869,,,0.217777778,0.182222222,,0,0,-0.12,,-0.12,0.382109514,0.061109469,1.634148179,,,0.692307692,0.783076923,0.68,0.38,
2015/11/9 13:32,,-0.355212812,-0.492944035,0.919252592,0.78732359,,0.000280329,0.217777778,0.217777778,,0,0,,,-0.134,-0.12,-0.180328846,-0.09771946,1.638093334,,,0.692307692,0.779615385,0.31,0.06,0.55
2015/11/9 13:33,,,-0.604192011,-0.234361343,-0.679027937,1.508024297,-0.038963855,0.217777778,0.217777778,0.182222222,0,0,0,,,-0.12,,-0.080071801,,1.45777634,,0.692307692,,0.386666667,0.577777778,
2015/11/9 13:34,,-0.419611532,-0.53124159,,,,-0.012801066,0.217777778,0.217777778,0.182222222,,,0,-0.12,-0.13775,-0.12,,0.061109469,1.638093334,,,0.692307692,0.769230769,0.52,0.02,0.545
2015/11/9 13:35,,,-0.479818206,,-0.008466627,,-0.062219667,0.217777778,0.217777778,0.182222222,0,0,0,,,-0.12,,0.061109469,1.631956427,1.491983397,0.692307692,0.692307692,0.769230769,,0.382222222,-1.85E-17
2015/11/9 13:36,-0.091401862,-0.28998314,,0.455941593,0.121441433,,,,0.217777778,0.182222222,,0,0,-0.12,,,,-0.256548388,1.630203025,1.495196949,0.692307692,,0.769230769,,0.745,
2015/11/9 13:37,,-0.240541542,-0.437624368,-0.277112651,-0.454516552,1.50923769,,0.217777778,,0.182222222,0,0,0,-0.12,-0.139,-0.12,0.241499924,0.061109469,1.624877066,1.512645735,0.692307692,0.692307692,,-0.305,0.72,0.88
2015/11/9 13:38,,-0.213120151,-0.429114776,0.106354347,,1.506325547,,0.217777778,0.217777778,,,,0,-0.12,-0.139,-0.12,-0.461548025,0.061109469,,1.499977438,0.695769231,0.692307692,,,,1.065
2015/11/9 13:39,-0.06184691,-0.309787478,-0.473142025,0.170757046,-0.560958485,1.50867144,0.023051645,,,,,,0,,,-0.12,-0.024095968,-0.221253071,,1.480935155,0.693846154,0.692307692,,0.675555556,,0.595555556
2015/11/9 13:40,-0.044380292,-0.314911677,-0.479428284,-0.815951758,-0.230022758,,0.022082653,,,,0,0,0,-0.12,-0.139,-0.12,-0.180328846,-0.09771946,1.628427705,,0.692307692,0.692307692,,0.195,0.775,0.78
2015/11/9 13:41,0.078295809,-0.170187671,,-0.538967405,-0.621752291,1.508024297,0.042431489,,0.217777778,0.182222222,,0,0,-0.12,-0.139,-0.12,,-0.080071801,1.627046901,1.483059817,0.692307692,0.692307692,0.769230769,,,
2015/11/9 13:42,,,-0.445638909,-0.377025549,-0.144373151,1.506325547,-0.038963855,,0.217777778,0.182222222,,0,0,-0.12,,-0.12,-0.180328846,-0.415377317,,1.500455487,0.692307692,0.692307692,0.763461538,,,
2015/11/9 13:43,,,,-0.880690137,-0.856167296,1.512877869,0.000280329,,0.217777778,0.182222222,0,0,,,,,0.382109514,0.061109469,,,0.692307692,0.692307692,,0.225,0.14,
2015/11/9 13:44,-0.126181433,-0.304617115,-0.476256187,-1.264996336,-1.006779729,1.508024297,-0.038963855,0.217777778,0.217777778,0.182222222,,0,0,,,,0.225876636,-0.080071801,1.628624963,1.52364086,0.698461538,,0.753846154,0.777777778,0.728888889,0.653333333
2015/11/9 13:45,-0.007039633,-0.246773676,-0.443635273,-0.970244894,-0.334195478,1.507053583,-0.03460339,0.217777778,0.217777778,0.182222222,0,,0,-0.127875,-0.139,-0.12,0.382109514,,1.630203025,1.507387196,0.692307692,0.692307692,0.753846154,1.42,0.585,0.15
2015/11/9 13:46,,-0.372662788,-0.513220589,-0.793293325,-0.677268857,1.509959807,0.052605907,0.217777778,0.217777778,,0,0,,,-0.140375,-0.12,,-0.09771946,1.630203025,1.472967673,0.692307692,0.692307692,0.753846154,0.545,0.57,0.07
2015/11/9 13:47,,-0.537191131,,-0.892990429,-0.680910153,1.508509654,0.009001258,0.217777778,,0.182222222,0,0,,-0.129,-0.14175,,0.100890334,0.061109469,,1.466035963,0.692307692,,,-0.36,0.205,
2015/11/9 13:48,,-0.572737378,,-0.561026408,-0.009873891,1.507377154,-0.011832074,,0.217777778,0.182222222,0,,,-0.129,-0.147555556,-0.12,0.350862938,-0.221253071,,1.472436507,0.692307692,,0.745299145,0.302222222,,1.031111111
2015/11/9 13:49,,-0.71344512,-0.650917462,,,1.510612869,0.050183426,0.217777778,0.217777778,0.182222222,0,0,0,,,-0.126,0.100890334,,1.630203025,,0.692307692,0.676923077,,0.164444444,0.404444444,0.08
2015/11/9 13:50,,-0.539499329,,-0.235895883,0.070340158,,,0.217777778,0.217777778,0.182222222,0,0,,-0.129,-0.15,,-0.399054874,-0.221253071,1.631956427,,0.692307692,0.676923077,,0.4,,
2015/11/9 13:51,-0.156863264,,-0.565537733,-0.361488338,-0.623599325,,,0.217777778,0.217777778,0.182222222,0,0,,-0.129,-0.15,,,-0.256548388,1.634148179,1.523401836,,,0.738461538,0.64,0.055,1.075
2015/11/9 13:52,-0.319133781,,-0.637129614,-0.115050909,,1.509965726,,,0.217777778,0.182222222,,,0,,,-0.129,-0.320938436,-0.574206246,1.645983643,1.528182325,0.686538462,0.676923077,,,0.41,0.795
2015/11/9 13:53,,-0.467483556,-0.55747437,,,,0.030803582,0.217777778,,0.182222222,0,0,0,-0.133444444,,,-0.024095968,0.061109469,,,,0.676923077,,,,1.2
2015/11/9 13:54,-0.162856209,-0.39135919,-0.525485532,,,1.510693761,-0.02588246,,0.217777778,0.182222222,0,,0,,-0.15,-0.129,,,1.634148179,1.497348169,0.676923077,0.676923077,0.721538462,1.01,0.465,
2015/11/9 13:55,,-0.33734736,-0.493447873,-0.21604278,-0.241738231,,0.000280329,,0.217777778,0.182222222,0,0,0,-0.134,-0.15,-0.129,-0.039719256,,1.644011066,1.482528652,0.676923077,0.676923077,,,0.405,0.605
2015/11/9 13:56,,-0.487057074,-0.564366667,,-0.618515584,1.51125475,0.034679551,0.217777778,,0.182222222,,0,0,,-0.15,-0.129,0.350862938,,1.631956427,,0.683760684,,0.736581197,-0.128888889,,
2015/11/9 13:57,-0.083103938,-0.319897384,-0.480178183,-0.999808754,-0.815638092,1.510693761,0.004640793,0.217777778,0.217777778,0.182222222,0,0,,-0.139,-0.15,-0.129,0.100890334,,,1.512645735,,,0.721538462,0.17,0.57,0.015
2015/11/9 13:58,-0.031113857,-0.155045893,-0.386364698,-1.169087626,-0.720964405,1.512549036,-0.031211917,0.217777778,0.217777778,0.182222222,0,0,0,-0.139,-0.15,,-0.14908227,,,1.526402921,,,0.721538462,-0.293333333,0.257777778,-0.248888889
2015/11/9 13:59,,-0.157861895,-0.392314089,-0.264812359,,1.512143914,0.009001258,0.217777778,0.217777778,0.182222222,0,0,0,,-0.15,-0.129,,-0.574206246,,1.546587209,0.692307692,0.676923077,0.721538462,0.155,0.255,1.135
2015/11/9 14:00,,-0.42168891,-0.535500779,-0.080955363,-0.281792483,1.513599985,0.022082653,0.217777778,0.217777778,0.182222222,0,0,0,,-0.15,-0.129,,-0.09771946,1.638093334,1.543479891,0.692307692,0.684615385,,0.13,0.33,1.085
2015/11/9 14:01,-0.126181433,-0.461574569,-0.556133406,-0.340628194,-0.26501086,1.511907154,-0.019584011,0.217777778,0.217777778,,,0,,-0.139,-0.15,-0.129,0.100890334,-0.080071801,,1.500482045,0.692307692,0.692307692,0.721538462,-0.2,0.493333333,0.648888889
